PMID	Sentence	Source	Target	Label
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-3562->3562>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-3567->3567>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-3569->3569>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-7124->7124>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-7124->7124>1	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3553->3553>0	-7124->7124>2	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-3567->3567>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-3569->3569>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-7124->7124>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-7124->7124>1	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3562->3562>0	-7124->7124>2	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3565->3565>0	-7124->7124>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3565->3565>0	-7124->7124>1	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3565->3565>0	-7124->7124>2	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3567->3567>0	-3569->3569>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3567->3567>0	-7124->7124>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3567->3567>0	-7124->7124>1	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3567->3567>0	-7124->7124>2	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3569->3569>0	-7124->7124>0	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3569->3569>0	-7124->7124>1	Affirmative
7805753	On the other hand, -7124-, but not other cytokines including -3553-, -3562-, -3567-, -3569-, interferon-alpha (-3439-) or -3458-, inhibited -3565- -mediated growth, and inhibition by -7124- was blocked by anti- -7124- Ab but not by control IgG$	-3569->3569>0	-7124->7124>2	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3558->3558>0	-3565->3565>0	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3558->3558>0	-7124->7124>0	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3558->3558>0	-7124->7124>1	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3565->3565>0	-7124->7124>0	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3565->3565>0	-7124->7124>1	Affirmative
7805753	-3576- had no effect in binding of -3565-, -3558- or -7124- by B cells, however, it enhanced -7124- production by B cells$	-3576->3576>0	-7124->7124>1	Affirmative
7805753	-3565- had no effect on -7124- binding by B cells while it decreased -7124- production by B cells$	-3565->3565>0	-7124->7124>1	Affirmative
7805649	-5310- but not -8535- is found in corticotroph cells of the anterior pituitary and cleaves -5443- to generate NT, JP, ACTH, beta LPH and small amounts of gamma LPH and beta end$	-5310->5310>0	-5443->5443>0	Affirmative
7805649	-5310- but not -8535- is found in corticotroph cells of the anterior pituitary and cleaves -5443- to generate NT, JP, ACTH, beta LPH and small amounts of gamma LPH and beta end$	-5310->5310>0	-8535->8535>0	Affirmative
7805877	The homologous F-actin binding domains from -1756- and -87- were not regulated by -801- in the presence or absence of calcium$	-1756->1756>0	-87->87>0	Affirmative
7805397	The activity of -554219- was the most potent of these cytokines, while -373958- and -396398- had no effect in chick RPE cells$	-373958->373958>0	-396398->396398>0	Affirmative
7805397	The activity of -554219- was the most potent of these cytokines, while -373958- and -396398- had no effect in chick RPE cells$	-373958->373958>0	-554219->554219>0	Affirmative
7805397	The activity of -554219- was the most potent of these cytokines, while -373958- and -396398- had no effect in chick RPE cells$	-396398->396398>0	-554219->554219>0	Affirmative
7806638	Phosphorylation also had no effect on the binding of -373965- to actin or on the -373965- -mediated inhibition of acto-79784- MgATPase activity$	-373965->373965>0	-79784->79784>0	Affirmative
7806638	Phosphorylation also had no effect on the binding of -373965- to actin or on the -373965- -mediated inhibition of acto-79784- MgATPase activity$	-373965->373965>1	-79784->79784>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-2534->2534>0	-3932->3932>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-2534->2534>0	-920->920>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-2534->2534>0	-925->925>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-3932->3932>0	-920->920>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-3932->3932>0	-925->925>0	Affirmative
7806282	Here we demonstrate that a fraction of -920- and -925- molecules are associated with very large, detergent-resistant complexes containing several glycosylphosphatidylinositol-anchored proteins, (glyco)lipids, and protein tyrosine kinases -3932- and -2534- but apparently no other major transmembrane proteins$	-920->920>0	-925->925>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-2534->2534>0	-3932->3932>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-2534->2534>0	-3932->3932>1	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-2534->2534>0	-920->920>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-2534->2534>0	-925->925>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-3932->3932>0	-920->920>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-3932->3932>0	-925->925>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-3932->3932>1	-920->920>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-3932->3932>1	-925->925>0	Affirmative
7806282	Association of -3932- and -2534- with these large complexes is, in contrast to simple -920- -925- - -3932- complexes, not sensitive to alkylation with iodoacetamide$	-920->920>0	-925->925>0	Affirmative
7807502	Supine clinic and 24h -8991- and -1628-, age and presence of previous cardiovascular events were similar in the groups with and without PH$	-1628->1628>0	-8991->8991>0	Affirmative
7807973	-7412- mRNA is expressed only in endothelial cells and certain fibroblast-like cells that do not label with antibodies against macrophages, whereas -1509- mRNA is coexpressed with macrophages$	-1509->1509>0	-7412->7412>0	Affirmative
7808456	Unlike cytosolic -1158- (-1158-) and brain CK (-1152-), there is no developmental isoenzyme switch between the MtCKs$	-1152->1152>0	-1158->1158>0	Affirmative
7808456	Unlike cytosolic -1158- (-1158-) and brain CK (-1152-), there is no developmental isoenzyme switch between the MtCKs$	-1152->1152>0	-1158->1158>1	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-1437->1437>0	-3458->3458>0	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-1437->1437>0	-3558->3558>0	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-1437->1437>0	-3565->3565>0	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-3458->3458>0	-3558->3558>0	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-3458->3458>0	-3565->3565>0	Affirmative
7807997	Without specific induction spontaneous cytokine gene expression of -3558-, -3565-, -3458-, and -1437- was seen in the purified T-cell fractions without signals in the purified hairy-cell fractions$	-3558->3558>0	-3565->3565>0	Affirmative
7807546	This is close to the ratio of 2.3 estimated from primate -103694540- and -22764- intron sequences and supports the view that the male-to-female ratio of mutation rate in humans in considerably higher than 1 but not extremely large$	-103694540->103694540>0	-22764->22764>0	Affirmative
7809107	We show that the induction by transcription does not require the products of the -855471-, -856831-, and -851567- genes$	-851567->851567>0	-855471->855471>0	Affirmative
7809107	We show that the induction by transcription does not require the products of the -855471-, -856831-, and -851567- genes$	-851567->851567>0	-856831->856831>0	Affirmative
7809107	We show that the induction by transcription does not require the products of the -855471-, -856831-, and -851567- genes$	-855471->855471>0	-856831->856831>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-6872->6872>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-6908->6908>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-6908->6908>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-6908->6908>2	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>0	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-6872->6872>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-6908->6908>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-6908->6908>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-6908->6908>2	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-32762->32762>1	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-6908->6908>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-6908->6908>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-6908->6908>2	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6872->6872>0	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>0	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>0	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>0	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>0	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>1	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>1	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>1	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>1	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>2	-7157->7157>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>2	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>2	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-6908->6908>2	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-7157->7157>0	-37476->37476>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-7157->7157>0	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-7157->7157>0	-40134->40134>1	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-37476->37476>0	-40134->40134>0	Affirmative
7809597	Furthermore, a partial -6908- complex containing Drosophila -37476- (d-6908-), human -6872-, -40134-, and -32762- supported activation by a Gal4- -7157- fusion protein in vitro, whereas -6908- or a subcomplex lacking -32762- and -40134- did not$	-37476->37476>0	-40134->40134>1	Affirmative
7809631	Expression of -25163- suppressed cellular transformation of primary rat embryo fibroblasts by oncogenic Ha-Ras and -24577-, but not by Ha-Ras and -25244-$	-24577->24577>0	-25163->25163>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>0	-5327->5327>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>0	-5327->5327>1	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>0	-7450->7450>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>0	-7450->7450>1	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>1	-5327->5327>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>1	-5327->5327>1	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>1	-7450->7450>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5054->5054>1	-7450->7450>1	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5327->5327>0	-7450->7450>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5327->5327>0	-7450->7450>1	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5327->5327>1	-7450->7450>0	Affirmative
7809928	This -7056- spike was not correlated with the progressive -5327- (-5327-) increase, -5054- (-5054-), or -7450- (-7450-) values$	-5327->5327>1	-7450->7450>1	Affirmative
7809928	The absence of accumulation of -7056- in plasma, unlike that of -5327-, suggests that the liver does not play a major role in -7056- clearance in humans$	-7056->7056>0	-5327->5327>0	Affirmative
7809928	The absence of accumulation of -7056- in plasma, unlike that of -5327-, suggests that the liver does not play a major role in -7056- clearance in humans$	-7056->7056>1	-5327->5327>0	Affirmative
7810659	Animals treated with superoxide dismutase (SOD), or SOD + -847- (-847-) had greater -7124- in the hepatic effluent compared with I R alone; however, SOD or SOD + -847- did not cause additional release of -26503-.SOD + -847- plus anti- -7124- serum resulted in significant protection compared with SOD + -847- plus control serum$	-847->847>0	-26503->26503>0	Affirmative
7810659	Animals treated with superoxide dismutase (SOD), or SOD + -847- (-847-) had greater -7124- in the hepatic effluent compared with I R alone; however, SOD or SOD + -847- did not cause additional release of -26503-.SOD + -847- plus anti- -7124- serum resulted in significant protection compared with SOD + -847- plus control serum$	-847->847>0	-7124->7124>0	Affirmative
7810659	Animals treated with superoxide dismutase (SOD), or SOD + -847- (-847-) had greater -7124- in the hepatic effluent compared with I R alone; however, SOD or SOD + -847- did not cause additional release of -26503-.SOD + -847- plus anti- -7124- serum resulted in significant protection compared with SOD + -847- plus control serum$	-847->847>0	-7124->7124>1	Affirmative
