PMID	NCBI_Gene	Mentions	Resource
7804532	3586	IL-10|Interleukin-10|interleukin-10	GNormPlus
7804532	7124	TNF-alpha|tumor necrosis factor	GNormPlus
7804950	5972	renin	GNormPlus
7805161	6936	GCF	GNormPlus
7804565	22796	LDL-cholesterol|LDL-C	GNormPlus
7804775	581	Bax	GNormPlus
7804958	6741	La(SSB)	GNormPlus
7804972	10178	TNM	GNormPlus
7805172	213	serum albumin	MESH|GNormPlus
7804780	10927;54466	spin -1/2	GNormPlus
7804780	169981;54466	spin 3/2	GNormPlus
7804792	3630	insulin	GNormPlus
7804982	5111	PCNA|proliferating cell nuclear antigen	GNormPlus
7804982	7157	p53	GNormPlus
7805183	923;9173;292	t1/2(alpha) and t1/2(beta) of 8.1	GNormPlus
7805188	18669	mdr1	GNormPlus
7804794	717	CO2	GNormPlus
7804803	10242	beta 2	GNormPlus
7805216	3827	bradykinin	GNormPlus
7805216	5340	Plasmin|plasmin	GNormPlus
7804809	55599	RNP	GNormPlus
7804809	6737	SS-A	GNormPlus
7804809	6741	SS-B	GNormPlus
7805001	3458	interferon-gamma	GNormPlus
7805002	3558	lymphokine|interleukin-2	GNormPlus
7805056	718	C-3	GNormPlus
7805231	2244	fibrinogen	GNormPlus
7804667	6717	Sri	GNormPlus
7804822	7054	TH|tyrosine hydroxylase	MESH|GNormPlus
7804825	310218	CA1	GNormPlus
7804828	111343	IL-1	GNormPlus
7804828	12977	Macrophage colony-stimulating factor(M-CSF|M-CSF	GNormPlus
7804828	12981	GM-CSF	GNormPlus
7804828	16176	IL-1 beta|interleukin-1 beta	GNormPlus
7804828	16193	IL-6	GNormPlus
7804828	16193;12981	IL-6 and granulocyte-macrophage colony-stimulating factor(GM-CSF	GNormPlus
7804828	21926	TNF alpha|tumor necrosis factor alpha	GNormPlus
7805931	920	CD4	GNormPlus
7805719	3562	IL-3	GNormPlus
7805719	3565	interleukin-4|IL-4	GNormPlus
7805719	728	C5a	GNormPlus
7805727	3383	intercellular adhesion molecule-1|CD54	GNormPlus
7805727	958	CD40	GNormPlus
7805727	959	CD40 ligand	GNormPlus
7805728	11102	p14	GNormPlus
7805728	6962	TCR|CD3-T cell receptor	GNormPlus
7805730	14061	F1 and F2	GNormPlus
7805577	1158	M-CK	gene2pubmed|GNormPlus
7805577	1152	B-CK	GNormPlus
7805578	1152	CK|B-CK	GNormPlus
7805579	1152	B-CK	GNormPlus
7805739	695	Bruton's tyrosine kinase|Btk	GNormPlus|MESH
7805740	12504	CD4	GNormPlus
7805740	15978	interferon-gamma	GNormPlus
7805740	57314	Th1	GNormPlus
7805740	668478	IgG2a	GNormPlus
7805741	2209	Fc gamma receptor	GNormPlus
7805741	3458	IFN-gamma|interferon-gamma	GNormPlus
7805949	3630	insulin	GNormPlus
7805949	760	Ca2	GNormPlus
7805957	2645	glucokinase	GNormPlus|MESH
7805957	2819	glycerophosphate dehydrogenase	GNormPlus
7805957	6514	glut-2	GNormPlus
7805957	675	FAD	GNormPlus
7805437	7124	TNFa|tumor necrosis factor alpha	GNormPlus
7805442	2064	C-erbB-2|HER-2/neu	GNormPlus
7805581	5091	pyruvate carboxylase	GNormPlus
7805582	717	CO2	GNormPlus
7805584	4129	MAOB	GNormPlus
7805584	706	PTBR	GNormPlus
7805743	105243590	IgG1	GNormPlus
7805743	16016	IgG2b	GNormPlus
7805743	380795	IgG3	GNormPlus
7805743	668478	IgG2a	GNormPlus
7805749	5657	PR3|c-ANCA|proteinase 3	MESH|GNormPlus
7805753	3439	IFN-alpha	GNormPlus
7805753	3458	IFN-gamma	GNormPlus
7805753	3553	IL-1 beta	GNormPlus
7805753	3558	IL-2	GNormPlus
7805753	3562	IL-3	GNormPlus
7805753	3565	interleukin-4|IL-4	GNormPlus
7805753	3567	IL-5	GNormPlus
7805753	3569	IL-6	GNormPlus
7805753	3576	Interleukin-8|interleukin-8 (IL)-8|IL-8	GNormPlus
7805753	7124	TNF-alpha|tumor necrosis factor-alpha	GNormPlus
7805754	8718	DR3	GNormPlus
7805755	1146783	Y-(18-36	GNormPlus
7805755	280872	GTP-binding protein	GNormPlus
7805755	281512	substance P	GNormPlus
7805755	504216	neuropeptide Y|Neuropeptide Y	GNormPlus
7805764	24173	alpha 1B-adrenoceptor|alpha 1b-adrenoceptor	GNormPlus
7805765	24408	NMDAR1	GNormPlus
7806000	7076	TIMP|tissue inhibitor of metalloproteinase	GNormPlus
7805455	1437	GM-CSF	GNormPlus
7805455	3552	IL-1 alpha	GNormPlus
7805455	3569	IL-6	GNormPlus
7805615	28	ABO	GNormPlus
7805622	280829	insulin	GNormPlus
7805766	2357	fMLP	GNormPlus
7805770	493772	C-type natriuretic peptide	GNormPlus
7805774	1128	Hm1	GNormPlus
7805774	1129	Hm2|muscarinic M2 receptor	GNormPlus
7805774	1131	Hm3	GNormPlus
7805774	1132	Hm4	GNormPlus
7805774	1133	Hm5	GNormPlus
7805775	717	CO2	GNormPlus
7805980	2244	fibrinogen	GNormPlus
7805465	2099	ER|estrogen receptor	GNormPlus
7805784	2752	Glutamine synthetase	GNormPlus|MESH
7805785	310218	CA1	GNormPlus
7805785	54231	Ca2	GNormPlus
7805786	28913	L-2	GNormPlus
7805786	51056	L-AP3	GNormPlus
7805789	29339	SAP|Serum amyloid P component|serum amyloid P component	GNormPlus
7805793	101864991	CD4	GNormPlus
7805643	25569	TRH|thyrotropin-releasing hormone	GNormPlus
7805799	16175	IL-1 alpha|Interleukin-1 alpha	GNormPlus
7805799	16176	IL-1 beta|interleukin-1 beta	GNormPlus
7805799	16193	IL-6|interleukin-6	GNormPlus
7805799	21926	TNF alpha|tumor necrosis factor alpha	GNormPlus
7805486	23113	Parc	GNormPlus
7805649	5310	PC1	GNormPlus
7805649	5443	beta MSH|CLIP, alpha MSH|CLIP and beta MSH|POMC|Proopiomelanocortin	GNormPlus
7805649	8535	PC2	GNormPlus
7805650	2353	c-fos	GNormPlus
7805650	3725	c-jun	GNormPlus
7805653	1392	CRH	GNormPlus
7805656	1392	CRH	GNormPlus
7805829	18263	ODC	GNormPlus
7805829	852834	cim3|CIM3	GNormPlus
7805829	853712	cim5|CIM5	GNormPlus
7805831	712	C1q	GNormPlus
7805832	29725	rBAT	GNormPlus|MESH
7805839	5045	furin	MESH|GNormPlus
7805839	692741	Vitellogenin|vitellogenin	GNormPlus|gene2pubmed
7805667	966	min-1	GNormPlus
7805844	514	F0F1-ATPase	GNormPlus
7805846	1889	ECE-1	gene2pubmed|GNormPlus|MESH
7805846	281133	ECE-1	gene2pubmed|GNormPlus
7805846	281137	endothelin-1	GNormPlus
7805847	683	BST-1	gene2pubmed|GNormPlus
7805847	12182	BST-1	GNormPlus
7805847	12494	CD38	GNormPlus
7805847	952	CD38	GNormPlus
7805848	851019	Cdc25	GNormPlus
7805852	5464	protein phosphatase 1|PP1	GNormPlus
7805852	5524	PP2A	GNormPlus
7805855	1938	EF-2	GNormPlus
7805515	91544	Soci	GNormPlus
7805518	2908	glucocorticoid receptors|GCR	GNormPlus
7805520	16181	IL-1ra|interleukin-1 receptor antagonist	GNormPlus
7805670	966	min-1	GNormPlus
7805863	1020	CDK5|Cdk5	MESH|GNormPlus
7805863	36727	CDK5|Cdk5	GNormPlus|gene2pubmed|MESH
7805865	6227	8.2 kDa differentiation factor	GNormPlus|gene2pubmed
7805868	18548	SPC3	gene2pubmed|GNormPlus
7805868	16334	proinsulin	GNormPlus
7805868	18549	SPC2	GNormPlus
7805868	20683	Sp1	GNormPlus
7805868	5126	SPC2	GNormPlus
7805875	24954	insulin receptor	GNormPlus
7805875	3643	insulin receptor	GNormPlus
7805877	1756	dystrophin	GNormPlus|MESH
7805877	7402	utrophin	MESH|GNormPlus
7805877	801	calmodulin	GNormPlus|MESH
7805877	87	alpha-actinin	GNormPlus
7805375	76967	TA3	GNormPlus
7805378	3250	hPR	GNormPlus
7805525	1628	DBP	GNormPlus
7805525	8991	SBP	GNormPlus
7805531	7535	SRK	GNormPlus
7805532	6120	retinal pigment epithelial (RPE)|RPE	GNormPlus
7805878	1519	Cathepsin O|cathepsin O	GNormPlus|MESH|gene2pubmed
7805878	100009334	OC2	GNormPlus
7805878	1514	cathepsin L	GNormPlus
7805878	1520	cathepsin S	GNormPlus
7805878	9480	OC2	GNormPlus
7805880	3383	ICAM-1	GNormPlus
7805886	855275	Rna1p|Rna1	GNormPlus
7805892	3700	PK-120	GNormPlus|gene2pubmed
7805892	3818	plasma kallikrein|PK	GNormPlus
7805379	683667	Sri	GNormPlus
7805905	1155	hCG > 2,000 mIU/mL	GNormPlus
7805549	4609	c-myc	GNormPlus
7805549	4893	N-ras	GNormPlus
7805907	111334	CD-1	GNormPlus
7805915	23731	hCG < 2	GNormPlus
7805394	4313	MMP-2|matrix metalloproteinase-2	MESH|GNormPlus
7805396	24717	rhodopsin|Rhodopsin	GNormPlus
7805397	100873157	transforming growth factor (TGF)-beta 1	GNormPlus
7805397	3458	IFN-gamma	GNormPlus
7805397	3553	IL-1 beta	GNormPlus
7805397	373958	IL-2	GNormPlus
7805397	396398	IFN-alpha	GNormPlus
7805397	554219	IFN-beta	GNormPlus
7805397	7124	TNF)-alpha|tumor necrosis factor	GNormPlus
7805554	7157	p53	GNormPlus
7805556	7124	tumor necrosis factor	GNormPlus
7805557	4830	nm23	GNormPlus
7805919	3342	hCG	GNormPlus
7805923	100128998	tissue plasminogen activator	GNormPlus
7805558	542898	MT|metallothionein	GNormPlus
7805560	26	diamine oxidase|DAO	GNormPlus
7805561	5443	POMC	GNormPlus
7806576	851803	rad9	GNormPlus
7806576	856484	ste12	GNormPlus
7806582	1499	beta-Catenin|beta-catenin	GNormPlus|gene2pubmed|MESH
7806582	999	E-cadherin	GNormPlus|gene2pubmed
7806582	31151	beta-catenin	GNormPlus
7806582	37386	E-cadherin	GNormPlus
7806585	154968	N-acetyl-beta-glucosaminidase	GNormPlus
7806585	24694	PTH	GNormPlus
7806585	25697	cathepsin L	GNormPlus
7806585	64529	cathepsin B	GNormPlus
7806748	2056	erythropoietin	GNormPlus
7806411	57379	aid	GNormPlus
7806592	24835	rTNF alpha	GNormPlus
7806592	3458	interferon-gamma	GNormPlus
7806592	7124	TNF alpha|tumor necrosis factor-alpha	GNormPlus
7806184	50865	HBP	GNormPlus
7806420	2247	basic fibroblast growth factor|bFGF	GNormPlus
7806773	100858738	PNMT|phenylethanolamine-N-methyltransferase	GNormPlus
7806773	396256	calcitonin	GNormPlus
7806207	336	apo A II	MESH|GNormPlus
7806207	335	apo A I, B100, C I, C II, C III	GNormPlus
7806207	4018	apolipoprotein A	GNormPlus
7806429	3558	IL-2	GNormPlus
7806429	3565	IL-4	GNormPlus
7806429	3586	IL-10	GNormPlus
7806429	51497	TH-1 and DTH	GNormPlus
7806431	109740	H1 and H2 receptors	GNormPlus
7806431	111364	H2 and H1 receptors	GNormPlus
7806433	16183	IL-2	GNormPlus
7806433	3558	interleukin-2|IL-2	GNormPlus
7806614	21838	Thy-1.2	GNormPlus
7806615	78996	STIR-MRI|MRI	GNormPlus
7805313	2548	acid maltase	GNormPlus
7806209	5212	Vit	GNormPlus
7806210	3077	HFE	GNormPlus
7806210	3106	HLA-B	GNormPlus
7806210	3136	HLA-H	GNormPlus
7806216	14784	Grb2	gene2pubmed|GNormPlus|MESH
7806216	2885	GRB2	MESH|gene2pubmed|GNormPlus
7806216	1956	epidermal growth factor receptor	GNormPlus
7806220	15284	Hlx	gene2pubmed|MESH|GNormPlus
7806220	3142	HLX1	gene2pubmed|GNormPlus|MESH
7806221	5680	PSG11	GNormPlus
7806435	3558	lymphokine|IL-2	GNormPlus
7806448	966	min-1	GNormPlus
7806016	217212	peptide YY|Peptide YY	GNormPlus
7806027	3630	Insulin	GNormPlus
7806028	3630	insulin	GNormPlus
7806029	3630	insulin	GNormPlus
7806223	8228	DXS1283E|GS2	gene2pubmed|MESH|GNormPlus
7806223	3730	KAL1	GNormPlus
7806223	412	STS|steroid sulfatase	GNormPlus
7806225	110138	Ccs1	gene2pubmed|GNormPlus
7806226	852053	SCA1	GNormPlus
7806229	10101	CFD1	GNormPlus
7806231	2192	FBLN1|Fibulin-1|fibulin-1	gene2pubmed|GNormPlus
7806463	51192	C3-2	GNormPlus
7806465	2033	P300	GNormPlus
7806638	373965	caldesmon	GNormPlus
7806638	79784	myosin	GNormPlus
7806638	800	Caldesmon|caldesmon	GNormPlus
7806031	7032	spasmolytic polypeptide	GNormPlus|MESH
7806031	7190	hSP	GNormPlus
7806036	5154	platelet-derived growth factor (PDGF) A|PDGF-A	GNormPlus
7806036	5155	PDGF-B	GNormPlus
7806036	7040	transforming growth factor (TGF) beta 1|TGF-beta 1	GNormPlus
7806234	24811	Tap-1	MESH|GNormPlus
7806234	24812	Tap-2	MESH|GNormPlus
7806234	294269	RT1.Da	GNormPlus
7806236	1843	CL100	gene2pubmed|GNormPlus
7806236	1844	PAC-1	gene2pubmed|GNormPlus
7806236	441554	hVH-4	gene2pubmed|GNormPlus
7806236	26191	protein-tyrosine phosphatase|PTPase	GNormPlus
7806236	28407	hVH-3	GNormPlus
7806240	3000	GUC2D|retGC	GNormPlus|gene2pubmed
7806244	2741	GLRA1|glycine receptor alpha 1	GNormPlus|gene2pubmed
7806249	11657	serum albumin	GNormPlus
7806249	16017	IgG1	GNormPlus
7806037	3126	DR4	GNormPlus
7806037	8718	DR3	GNormPlus
7806045	25721	aspartate aminotransferase	GNormPlus
7806250	4586	Leb	GNormPlus
7806255	2208	CD23	GNormPlus
7806255	3569	IL-6|interleukin-6	GNormPlus
7806480	286896	SPL	GNormPlus
7806485	1280	COL2A1	GNormPlus
7806054	7525	c-yes	GNormPlus
7806257	16193	IL-6|interleukin-6	GNormPlus
7806259	1378	CR1	GNormPlus
7806264	3672	VLA-1	gene2pubmed|GNormPlus
7806264	3458	IFN-gamma	GNormPlus
7806264	3559	IL-2R	GNormPlus
7806264	3684	CD11b	GNormPlus
7806264	920	CD4	GNormPlus
7806264	925	CD8	GNormPlus
7806264	940	CD28	GNormPlus
7806488	25353	osteopontin|OPN	GNormPlus
7806493	100009250	IL-1 alpha|Interleukin (IL)-1 alpha	GNormPlus
7806496	2994	GPB|GYPB	GNormPlus|gene2pubmed
7806496	2993	GYPA	GNormPlus
7806496	2993;2994;2996	glycophorins A, B, and E	GNormPlus
7806496	2996	GYPE	GNormPlus
7806067	1950	EGF|Epidermal growth factor	GNormPlus
7806067	25313	EGF	GNormPlus
7806067	85476	EGF1	GNormPlus
7806271	717969	Mamu-DPB1	GNormPlus|gene2pubmed
7806271	717992	Mamu-DPA1 and -DPB1|Mamu-DPA1 and 13|Mamu-DPA1	GNormPlus
7806274	5698	LMP2	GNormPlus
7806275	16904	Lmet1	gene2pubmed|GNormPlus
7806275	50908	serine protease	GNormPlus
7806277	3113	HLA-DPA1	GNormPlus
7806278	30663	Rag1|Recombination activating gene 1	GNormPlus|ZFIN
7806279	3123	DRB1|HLA-DRB1	GNormPlus
7806280	3565	interleukin 4	GNormPlus|gene2pubmed
7806282	2534	Fyn	GNormPlus
7806282	3932	Lck	GNormPlus
7806282	920	CD4	GNormPlus
7806282	925	CD8	GNormPlus
7806283	111526	Tcra V4	GNormPlus
7806286	722	C4BPA	GNormPlus|gene2pubmed
7806286	724	C4BPAL2	gene2pubmed|GNormPlus
7806287	19264	CD45|Ly5	GNormPlus|gene2pubmed
7806292	1942	B61	GNormPlus
7806294	3123	DRB1	GNormPlus
7806294	3126	DR4	GNormPlus
7806296	3115	HLA-DPB1	gene2pubmed|GNormPlus
7806297	3133	HLA-E	GNormPlus
7806305	2539	Glucose-6-phosphate dehydrogenase	GNormPlus
7806501	1934	beta 3-integrins, and 3|beta 3	GNormPlus
7806501	2187	Fab	GNormPlus
7806501	3685	integrin alpha	GNormPlus
7806501	3685;3690	integrin alpha v beta 3	GNormPlus
7806502	5900	RGDS	GNormPlus
7806502	6850	p72syk	GNormPlus
7806675	6936	GCF	GNormPlus
7806079	3497	IgE	GNormPlus
7806089	2056	erythropoietin|Epo	GNormPlus
7806298	3495	immunoglobulin heavy chain|IGHC	GNormPlus
7806298	3497	IGHE	GNormPlus
7806298	3498	IGHEP1	GNormPlus
7806299	3123	DRB1	GNormPlus
7806299	3126	DR4|DRB4	GNormPlus
7806299	8718	DR3	GNormPlus
7806300	110151	H2-Ke5	gene2pubmed|GNormPlus
7806300	14977	H2-Ke4	gene2pubmed|GNormPlus
7806300	20182	RXRB|Rxrb	gene2pubmed|GNormPlus
7806300	20181	Rxra|RXRA	GNormPlus
7806300	20183	Rxrg|RXRG	GNormPlus
7806300	6257	RXRB	GNormPlus
7806301	28605	TCRBV13S2	GNormPlus
7806301	28614	TCRBV5S1	GNormPlus
7806301	6957	TCRB	GNormPlus
7806507	16184	CD25	GNormPlus
7806507	26119	activation receptor homology sequence 1|ARH-1	GNormPlus
7806507	3558	IL-2	GNormPlus
7806507	916	CD3 epsilon	GNormPlus
7806507	919	CD3 zeta	GNormPlus
7806518	3576	IL-8|interleukin-8	GNormPlus
7806344	3622608	PA103	GNormPlus
7806537	397857	Raf-1	GNormPlus
7806537	492305	p21	GNormPlus
7806543	22139	TTR	GNormPlus|gene2pubmed
7806543	331535	Thyroxine-binding globulin|thyroxine-binding globulin	GNormPlus
7806544	3416	IDE|insulin degrading enzyme|insulin-degrading enzyme	GNormPlus|MESH
7806544	40248	IDE	GNormPlus
7806692	3350	5-HT1A	GNormPlus
7806698	3630	insulin	GNormPlus
7806165	3630	Insulin	GNormPlus
7806348	7124	tumor necrosis factor alpha	GNormPlus
7806351	3075	factor H	MESH|GNormPlus
7806142	3082	hepatocyte growth factor|HGF	GNormPlus
7806143	3458	IFN-gamma|interferon gamma	GNormPlus
7806143	3558	interleukin (IL)-2	GNormPlus
7806143	3567	IL-5	GNormPlus
7806143	3569	IL-6	GNormPlus
7806143	4155	major basic protein|MBP	GNormPlus
7806143	7040	transforming growth factor beta|TGF-beta	GNormPlus
7806355	4312	fibroblast collagenase	GNormPlus
7806559	4233	c-met	GNormPlus
7806561	4839	NOP2|Nop2p|p120	GNormPlus|MESH
7806561	855664	NOP2|Nop2p	GNormPlus|MESH
7806561	852307	GAL10	GNormPlus
7806561	854229	TCM1	GNormPlus
7806564	22134	TGN38	GNormPlus|MESH
7806568	2697	Cx43	MESH|GNormPlus
7806149	1057	cell-1|cell-1 and 46	GNormPlus
7806149	3897	L-1	GNormPlus
7806150	25697	cathepsin L	GNormPlus|MESH
7806150	64529	cathepsin B	GNormPlus
7806154	12981	granulocyte macrophage-colony stimulating factor	GNormPlus
7806154	15978	interferon-gamma	GNormPlus
7806154	16183	interleukin-2	GNormPlus
7806154	21926	TNF alpha|TNF-alpha|tumor necrosis factor-alpha	GNormPlus
7806368	3552	IL-1 alpha|interleukin-1 alpha	GNormPlus
7806368	3553	IL-1|IL-1 beta	GNormPlus
7806368	3557	IL-1ra	GNormPlus
7806368	3565	IL-4	GNormPlus
7806368	3569	IL-6	GNormPlus
7806368	3576	IL-8	GNormPlus
7806368	3586	IL-10	GNormPlus
7806368	4049	TNF-beta	GNormPlus
7806368	7124	TNF-alpha|tumor necrosis factor alpha	GNormPlus
7807131	6256	retinoid X receptor	GNormPlus
7807138	5816	parvalbumin	GNormPlus
7806937	213	serum albumin	MESH|GNormPlus
7806940	1950	EGF|epidermal growth factor	GNormPlus
7806940	1956	epidermal growth factor (EGF) receptor	GNormPlus
7807141	11423	acetylcholinesterase|AChE	GNormPlus
7807281	1158	CKMM|CK-MM	GNormPlus
7807281	5204	MM1	GNormPlus
7807285	100616444	envelope glycoprotein	GNormPlus
7806947	2056	erythropoietin	GNormPlus
7806947	3458	interferon-gamma	GNormPlus
7806947	3558	interleukin-2	GNormPlus
7806960	407	Carr	GNormPlus
7807470	3458	Interferon-gamma|IFN-gamma|interferon-gamma	GNormPlus
7807476	5798	IA2	GNormPlus
7806966	25081	apoA-I	GNormPlus
7806967	25330	hormone-sensitive lipase|HSL	GNormPlus
7806967	3991	Hormone-sensitive lipase|HSL	GNormPlus
7806967	81668	growth hormone	GNormPlus
7806968	24539	Lipoprotein lipase|LPL|lipoprotein lipase	GNormPlus
7807499	1636	ACE	GNormPlus
7807502	1628	DBP	GNormPlus
7807502	8991	SBP	GNormPlus
7806974	718	C-3	GNormPlus
7806975	110204	GM3	GNormPlus
7806975	12879	cpk	GNormPlus
7806975	22234	Glucosylceramide synthase|glucosylceramide synthase	GNormPlus
7806976	100136735	vitellogenin	GNormPlus
7806992	7399	US  2	GNormPlus
7806994	5498	PPO	GNormPlus
7807182	1800	MDP|gamma-IFN + MDP	GNormPlus
7807182	7124	TNF-alpha|tumor necrosis factor-alpha	GNormPlus
7806982	335	apolipoprotein A-I|apoA-I	GNormPlus
7806982	336	ApoA-II	GNormPlus
7806982	348	ApoE	GNormPlus
7806982	4018	Lp A	GNormPlus
7806982	53369	HDL3	GNormPlus
7807000	110279	B cell receptor for antigen (BCR)|BCR	GNormPlus
7807000	12330	calnexin	GNormPlus
7807000	12518	Ig alpha	GNormPlus
7807000	15985	Ig beta	GNormPlus
7807000	17329	mIg	GNormPlus
7807025	925	CD8	GNormPlus
7807193	5243	p-glycoprotein	GNormPlus
7807193	8714	multidrug resistance associated protein	GNormPlus
7807495	1628	DBP	GNormPlus
7807495	8991	SBP	GNormPlus
7807015	1493	CTLA-4	gene_interactions|HPRD|gene2pubmed|GNormPlus
7807015	940	CD28	GNormPlus|gene2pubmed
7807015	5296	p85	GNormPlus
7807021	16189	IL-4|Interleukin 4|interleukin 4	gene2pubmed|GNormPlus
7806857	2838	Bob	GNormPlus
7806866	9172	M-protein	GNormPlus
7807054	760	Ca2	GNormPlus
7807057	108697959	ROMK1	GNormPlus
7807059	3009	hH1	GNormPlus
7807222	28299;6983	V1/V2	GNormPlus
7807368	717	CO2	GNormPlus
7807226	759	CA1	GNormPlus
7807373	64206	tryptophan 2,3-dioxygenase	GNormPlus
7807379	12575	p21	GNormPlus
7807379	644914	p21	GNormPlus
7807380	24241	calcitonin gene-related peptide|CGRP	GNormPlus
7806903	23426	Grip	GNormPlus
7806909	7124;3552	TNF and IL-1	GNormPlus
7806911	2	alpha-2-macroglobulin	GNormPlus
7806920	201161	p30	GNormPlus
7807414	32340	rdgB|retinal degeneration B	GNormPlus|gene2pubmed|MESH
7806923	24472	hsp72	GNormPlus
7806923	3303	hsp72	GNormPlus
7807122	111979	EL-4	GNormPlus
7807967	100750225	PCA1	GNormPlus
7807967	3562	interleukin-3	GNormPlus
7807967	3569	interleukin-6	GNormPlus
7807967	4311	CD10	GNormPlus
7807967	4684	CD56	GNormPlus
7807967	952	CD38	GNormPlus
7808220	14580	glial fibrillary acidic protein|GFAP	GNormPlus
7808223	18049	NGF	GNormPlus
7808223	4803	Nerve growth factor|NGF	GNormPlus
7808224	25707	CNTF|Ciliary neurotrophic factor	GNormPlus
7808224	310738	nerve growth factor	GNormPlus
7808224	313173	CNTFR alpha	GNormPlus
7808227	29423	GAP-43	GNormPlus
7808440	4159	MC3	GNormPlus
7808440	5443	alpha-MSH	GNormPlus
7808446	4128	MAO-A	GNormPlus
7808446	4128;4129	MAO-A and -B	GNormPlus
7808446	4129	MAO-B	GNormPlus
7807592	14580	glial fibrillary acidic protein|GFAP	GNormPlus
7808233	1816	dopamine D5 receptor	GNormPlus
7808233	29484	D1 and D2	GNormPlus
7808234	2752	Glutamate decarboxylase|glutamate decarboxylase	GNormPlus|MESH
7807973	1509	cathepsin D	GNormPlus
7807973	2187	Fab	GNormPlus
7807973	6401	endothelial leukocyte adhesion molecule-1	GNormPlus
7807973	7412	Vascular cell adhesion molecule-1	GNormPlus
7808014	7157	p53	GNormPlus
7808242	966	min-1	GNormPlus
7808454	12715	M-CK	GNormPlus
7808456	1159	uMtCK	gene2pubmed|GNormPlus
7808456	1160	sMtCK|sarcomere-specific MtCK	gene2pubmed|GNormPlus
7808456	1152	BCK	GNormPlus
7808456	1158	muscle CK|MCK	GNormPlus
7808456	29593	uMtCK	GNormPlus
7808457	1152	B-CK	GNormPlus
7807610	1636	DCP	GNormPlus
7807613	3976	LiF	GNormPlus
7807997	1437	GM-CSF	GNormPlus
7807997	3458	IFN-gamma	GNormPlus
7807997	3553	IL-1|IL-1 beta	GNormPlus
7807997	3558	IL-2	GNormPlus
7807997	3562	IL-3	GNormPlus
7807997	3565	IL-4	GNormPlus
7807997	3569	IL-6	GNormPlus
7807997	3574	IL-7	GNormPlus
7807997	3586	IL-10	GNormPlus
7807997	7124	TNF-alpha	GNormPlus
7807997	920	CD4	GNormPlus
7807997	925	CD8	GNormPlus
7808459	1158	M-CK	GNormPlus
7808465	12715	M-CK	GNormPlus
7808466	3098	hexokinase	MESH|GNormPlus
7807619	3630	Insulin|insulin	GNormPlus
7807619	7018	transferrin	GNormPlus
7807628	5212	Vit|VIT	GNormPlus
7807998	4609	c-myc	GNormPlus
7808004	25	BCR-ABL|ABL	GNormPlus
7808005	5243	MDR1	MESH|GNormPlus
7808005	8714	multidrug resistance-associated protein|MRP	GNormPlus
7808010	3684	CD11b	GNormPlus
7808010	6957	TCR beta	GNormPlus
7808010	920	CD4	GNormPlus
7808010	925	CD8	GNormPlus
7807635	717	CO2	GNormPlus
7807636	717	CO2	GNormPlus
7808012	3535	IgL	GNormPlus
7808017	10966	RAR	GNormPlus
7808017	1381	CRABP	GNormPlus
7808017	5371	PML	GNormPlus
7808017	6256	RXR	GNormPlus
7808017	84106	PML-RAR	GNormPlus
7808019	4051	cytochrome P-450 and lipoxygenase	GNormPlus
7808023	3439	IFN alpha	GNormPlus
7808024	10903	CRA	GNormPlus
7808027	3479	IGF-I	GNormPlus
7808027	3479;3481	insulin-like growth factors I and II	GNormPlus
7808027	7039	tgf-alpha	GNormPlus
7808033	5914	RAR-alpha	GNormPlus
7808033	6256	RXR-alpha	GNormPlus
7808290	2353	c-Fos	GNormPlus
7808290	3725	c-Jun	GNormPlus
7807703	5187	per 1	GNormPlus
7808058	26284	era	GNormPlus
7808344	3048	MetHb|methemoglobin	MESH|GNormPlus
7808345	210	ALA-D|delta-aminolevulinic acid dehydratase	GNormPlus|MESH
7807508	1636	ACE|Angiotensin converting enzyme	GNormPlus
7807508	183	Angiotensin II	GNormPlus
7807510	1636	ACE	GNormPlus
7807512	1636	ACE|angiotensin converting enzyme	GNormPlus
7808054	3630	insulin	GNormPlus
7808352	2875	GPT	GNormPlus
7807513	1636	ACE	GNormPlus
7807749	19012	mPAP	GNormPlus
7807750	25464	intercellular adhesion molecule-1|ICAM-1	GNormPlus
7807750	309684	CD18	GNormPlus
7808073	1080	CFTR	GNormPlus
7808367	5837	Myophosphorylase|myophosphorylase	GNormPlus
7808369	351	A beta	GNormPlus
7807525	13047	CDP	GNormPlus
7807537	173078	HSF|heat-shock factor	GNormPlus
7807543	3308	HSP70	GNormPlus
7807763	6271	S-100	GNormPlus
7808383	123228	DEN-1	GNormPlus
7807546	103694540	ZFY	GNormPlus
7807546	22764	ZFX	GNormPlus
7807546	367832	ZFX	GNormPlus
7807546	7543	ZFX	GNormPlus
7807546	7544	ZFY	GNormPlus
7807768	2796	LH-RH	GNormPlus
7807769	7139	cmH2	GNormPlus
7807549	5265	alpha 1-antitrypsin and serpin|alpha 1-antitrypsin	GNormPlus
7807549	9622	kallikrein	GNormPlus
7807554	3772082	c-fos	GNormPlus
7807770	1906	ET-1|endothelin-1	GNormPlus
7807773	20309	IL-8	GNormPlus
7807773	2214	CD16	GNormPlus
7807773	3576	IL-8|interleukin-8	GNormPlus
7807773	925	CD8	GNormPlus
7807775	1401	CRP|C-reactive protein	GNormPlus
7808402	102577633	Patatin|patatin	GNormPlus|MESH
7807578	17196	Shiverer	gene2pubmed|GNormPlus
